# run: ./pt -T 11 1.5 1.6 1.7 1.8 1.9 2.0 2.1 2.2 2.3 2.4 2.5 40 1000 
# Info realisation 1000:numb. clusters=1, id_largest=0, size_largest = 1600
# time n x(energy mag mag2)
46 -1.960000 0.988750 0.988750  -1.942500 0.981250 0.981250  -1.917500 0.978750 0.978750  -1.832500 0.938750 0.938750  -1.815000 0.947500 0.947500  -1.727500 0.908750 0.908750  -1.710000 0.903750 0.903750  -1.445000 0.738750 0.738750  -1.397500 0.576250 0.576250  -1.180000 0.091250 0.091250  -1.117500 0.167500 0.167500  
47 -1.932500 0.981250 0.981250  -1.910000 0.975000 0.975000  -1.912500 0.967500 0.967500  -1.902500 0.970000 0.970000  -1.805000 0.938750 0.938750  -1.725000 0.915000 0.915000  -1.615000 0.850000 0.850000  -1.487500 0.795000 0.795000  -1.252500 0.533750 0.533750  -1.215000 0.141250 0.141250  -1.232500 0.050000 0.050000  
48 -1.960000 0.990000 0.990000  -1.960000 0.990000 0.990000  -1.905000 0.973750 0.973750  -1.907500 0.971250 0.971250  -1.855000 0.956250 0.956250  -1.737500 0.885000 0.885000  -1.672500 0.875000 0.875000  -1.555000 0.826250 0.826250  -1.307500 0.561250 0.561250  -1.102500 0.061250 0.061250  -1.137500 0.067500 0.067500  
49 -1.932500 0.980000 0.980000  -1.905000 0.972500 0.972500  -1.887500 0.967500 0.967500  -1.835000 0.950000 0.950000  -1.825000 0.941250 0.941250  -1.745000 0.912500 0.912500  -1.592500 0.856250 0.856250  -1.597500 0.853750 0.853750  -1.340000 0.581250 0.581250  -1.207500 0.020000 0.020000  -1.117500 0.107500 0.107500  
50 -1.952500 0.987500 0.987500  -1.930000 0.981250 0.981250  -1.910000 0.975000 0.975000  -1.915000 0.975000 0.975000  -1.837500 0.946250 0.946250  -1.727500 0.917500 0.917500  -1.700000 0.892500 0.892500  -1.597500 0.837500 0.837500  -1.292500 0.565000 0.565000  -1.122500 0.060000 0.060000  -1.220000 0.033750 0.033750  
51 -1.927500 0.980000 0.980000  -1.952500 0.987500 0.987500  -1.920000 0.976250 0.976250  -1.852500 0.961250 0.961250  -1.822500 0.945000 0.945000  -1.770000 0.918750 0.918750  -1.615000 0.841250 0.841250  -1.575000 0.830000 0.830000  -1.452500 0.735000 0.735000  -1.207500 0.097500 0.097500  -1.210000 0.140000 0.140000  
52 -1.957500 0.988750 0.988750  -1.905000 0.972500 0.972500  -1.840000 0.955000 0.955000  -1.882500 0.962500 0.962500  -1.820000 0.946250 0.946250  -1.742500 0.916250 0.916250  -1.612500 0.832500 0.832500  -1.467500 0.760000 0.760000  -1.360000 0.706250 0.706250  -1.227500 0.123750 0.123750  -1.170000 0.185000 0.185000  
53 -1.975000 0.993750 0.993750  -1.920000 0.975000 0.975000  -1.895000 0.962500 0.962500  -1.802500 0.941250 0.941250  -1.805000 0.941250 0.941250  -1.765000 0.921250 0.921250  -1.710000 0.903750 0.903750  -1.575000 0.833750 0.833750  -1.402500 0.675000 0.675000  -1.212500 0.182500 0.182500  -1.145000 0.062500 0.062500  
54 -1.980000 0.995000 0.995000  -1.917500 0.977500 0.977500  -1.885000 0.967500 0.967500  -1.830000 0.948750 0.948750  -1.877500 0.963750 0.963750  -1.810000 0.943750 0.943750  -1.787500 0.926250 0.926250  -1.597500 0.842500 0.842500  -1.357500 0.627500 0.627500  -1.190000 0.115000 0.115000  -1.185000 0.011250 0.011250  
55 -1.930000 0.981250 0.981250  -1.935000 0.982500 0.982500  -1.902500 0.972500 0.972500  -1.860000 0.961250 0.961250  -1.742500 0.920000 0.920000  -1.717500 0.907500 0.907500  -1.717500 0.915000 0.915000  -1.517500 0.820000 0.820000  -1.325000 0.666250 0.666250  -1.160000 0.158750 0.158750  -0.987500 0.047500 0.047500  
56 -1.947500 0.986250 0.986250  -1.950000 0.986250 0.986250  -1.927500 0.977500 0.977500  -1.855000 0.957500 0.957500  -1.817500 0.946250 0.946250  -1.790000 0.935000 0.935000  -1.687500 0.895000 0.895000  -1.397500 0.661250 0.661250  -1.542500 0.821250 0.821250  -1.257500 0.292500 0.292500  -1.132500 0.002500 0.002500  
57 -1.957500 0.988750 0.988750  -1.895000 0.972500 0.972500  -1.882500 0.966250 0.966250  -1.880000 0.965000 0.965000  -1.822500 0.940000 0.940000  -1.845000 0.950000 0.950000  -1.505000 0.798750 0.798750  -1.480000 0.706250 0.706250  -1.480000 0.791250 0.791250  -1.212500 0.320000 0.320000  -1.155000 0.096250 0.096250  
58 -1.960000 0.990000 0.990000  -1.910000 0.973750 0.973750  -1.865000 0.962500 0.962500  -1.885000 0.967500 0.967500  -1.865000 0.958750 0.958750  -1.792500 0.933750 0.933750  -1.652500 0.846250 0.846250  -1.542500 0.766250 0.766250  -1.507500 0.776250 0.776250  -1.287500 0.408750 0.408750  -1.067500 0.123750 0.123750  
59 -1.965000 0.991250 0.991250  -1.922500 0.977500 0.977500  -1.852500 0.956250 0.956250  -1.825000 0.951250 0.951250  -1.890000 0.962500 0.962500  -1.722500 0.901250 0.901250  -1.637500 0.870000 0.870000  -1.435000 0.747500 0.747500  -1.490000 0.758750 0.758750  -1.240000 0.341250 0.341250  -0.972500 0.033750 0.033750  
60 -1.950000 0.987500 0.987500  -1.942500 0.982500 0.982500  -1.907500 0.968750 0.968750  -1.872500 0.965000 0.965000  -1.790000 0.935000 0.935000  -1.750000 0.902500 0.902500  -1.700000 0.907500 0.907500  -1.502500 0.786250 0.786250  -1.475000 0.778750 0.778750  -1.192500 0.308750 0.308750  -1.060000 0.191250 0.191250  
61 -1.955000 0.988750 0.988750  -1.922500 0.977500 0.977500  -1.895000 0.965000 0.965000  -1.912500 0.971250 0.971250  -1.820000 0.910000 0.910000  -1.747500 0.921250 0.921250  -1.640000 0.871250 0.871250  -1.507500 0.806250 0.806250  -1.427500 0.716250 0.716250  -1.207500 0.418750 0.418750  -1.102500 0.235000 0.235000  
62 -1.937500 0.982500 0.982500  -1.947500 0.986250 0.986250  -1.922500 0.975000 0.975000  -1.882500 0.966250 0.966250  -1.792500 0.930000 0.930000  -1.775000 0.926250 0.926250  -1.620000 0.822500 0.822500  -1.675000 0.883750 0.883750  -1.545000 0.775000 0.775000  -1.317500 0.497500 0.497500  -1.072500 0.290000 0.290000  
63 -1.962500 0.988750 0.988750  -1.952500 0.987500 0.987500  -1.920000 0.976250 0.976250  -1.855000 0.955000 0.955000  -1.845000 0.952500 0.952500  -1.695000 0.882500 0.882500  -1.602500 0.861250 0.861250  -1.597500 0.828750 0.828750  -1.400000 0.656250 0.656250  -1.217500 0.510000 0.510000  -1.155000 0.332500 0.332500  
64 -1.957500 0.988750 0.988750  -1.917500 0.976250 0.976250  -1.947500 0.981250 0.981250  -1.857500 0.961250 0.961250  -1.807500 0.943750 0.943750  -1.780000 0.928750 0.928750  -1.690000 0.901250 0.901250  -1.537500 0.760000 0.760000  -1.332500 0.646250 0.646250  -1.275000 0.546250 0.546250  -1.120000 0.291250 0.291250  
65 -1.977500 0.992500 0.992500  -1.952500 0.987500 0.987500  -1.905000 0.976250 0.976250  -1.862500 0.958750 0.958750  -1.787500 0.922500 0.922500  -1.767500 0.923750 0.923750  -1.745000 0.920000 0.920000  -1.522500 0.770000 0.770000  -1.392500 0.671250 0.671250  -1.247500 0.570000 0.570000  -1.097500 0.308750 0.308750  
66 -1.960000 0.990000 0.990000  -1.925000 0.978750 0.978750  -1.862500 0.961250 0.961250  -1.817500 0.945000 0.945000  -1.845000 0.945000 0.945000  -1.702500 0.895000 0.895000  -1.642500 0.865000 0.865000  -1.547500 0.800000 0.800000  -1.507500 0.796250 0.796250  -1.227500 0.525000 0.525000  -1.040000 0.220000 0.220000  
67 -1.947500 0.986250 0.986250  -1.932500 0.980000 0.980000  -1.865000 0.962500 0.962500  -1.830000 0.943750 0.943750  -1.807500 0.943750 0.943750  -1.725000 0.906250 0.906250  -1.617500 0.863750 0.863750  -1.537500 0.756250 0.756250  -1.520000 0.770000 0.770000  -1.320000 0.576250 0.576250  -1.047500 0.220000 0.220000  
